"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 08 02:04:47 GMT 2024","Sun Dec 08 02:04:47 GMT 2024","542","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Sun Dec 08 02:04:44 GMT 2024","Sun Dec 08 02:04:46 GMT 2024","1859","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Sun Dec 08 02:04:41 GMT 2024","Sun Dec 08 02:04:42 GMT 2024","613","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Sun Dec 08 02:04:40 GMT 2024","Sun Dec 08 02:04:41 GMT 2024","547","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Sun Dec 08 02:04:41 GMT 2024","Sun Dec 08 02:04:41 GMT 2024","609","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Sun Dec 08 02:04:47 GMT 2024","Sun Dec 08 02:04:48 GMT 2024","541","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Sun Dec 08 02:04:46 GMT 2024","Sun Dec 08 02:04:47 GMT 2024","784","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Sun Dec 08 02:04:40 GMT 2024","Sun Dec 08 02:04:40 GMT 2024","584","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Sun Dec 08 02:04:43 GMT 2024","Sun Dec 08 02:04:44 GMT 2024","1476","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Sun Dec 08 02:04:42 GMT 2024","Sun Dec 08 02:04:43 GMT 2024","551","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Sun Dec 08 02:04:37 GMT 2024","Sun Dec 08 02:04:40 GMT 2024","2529","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
